Word,Number of records using the relevant words/phrases,Group,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
delve,16045,1,-0.863710189,-0.875048916,-0.757847175,-0.814177178,-0.531136909,-0.6745,-0.298320186,-0.390440458,-0.356187364,-0.524189322,-0.263885276,-0.03589495,0.002690514,0,0.276145941,0.488812272,0.55133505,1.017519454,1.222476039,2.049336283,2.369718687,3.755269278,5.070627748,29.3672759,107.748257
underscore,124125,1,-2.497160376,-2.233115778,-2.01003605,-1.673282871,-1.43521317,-1.194548622,-1.104072341,-0.949830257,-0.552225145,-0.321104842,-0.278691165,-0.245520999,0,0.267614801,0.287420584,0.143645268,0.43527613,0.658857759,0.652755701,0.465818936,0.6745,1.369537299,1.578517065,8.930453477,54.02029314
primarily,368663,1,-2.078319087,-0.666399805,-2.026506164,-1.442593117,-0.6745,0.165846126,-0.03464855,-0.072673324,0.004737678,-1.051083688,0.471350945,0.769769807,0,0.435359216,0.897664258,-0.306048487,-0.104672064,0.226266363,0.271294858,-0.924454751,-0.812756121,1.580022315,3.385822148,16.59200465,51.81327927
meticulous,15136,1,-0.6745,-0.756841639,0.690546222,-0.081845044,-0.872082689,-0.594268889,-0.325611057,-1.079348978,-0.562145408,-0.333525538,0.40956663,0,0.812336117,-0.201710634,-0.298763897,-0.549296015,0.541133237,1.352445127,0.906099439,0.025885008,1.844229247,2.939655485,1.376871388,9.10432229,33.23501604
boast,2277,1,-0.6745,-0.703080508,-0.931724576,-0.485868644,-0.834550847,-0.33725,-0.571610169,-0.40584322,0,-0.600190678,-0.245792373,-0.634487288,-0.120038136,0.200063559,0.680216102,0.628771186,0.451572034,0.988885593,1.531915254,1.343283898,2.120673729,2.194983051,2.400762712,9.747153771,31.00705081
commendable,1665,1,-0.801983964,0.419627342,-0.726190413,-0.881880901,-0.185836424,-0.59715492,-0.480123362,-0.790116128,-0.6745,-0.095432642,-0.485186246,-0.168415748,-0.133043609,0.028989094,0.293899056,0,0.549050717,0.726918542,1.149982385,1.021532118,1.540504949,1.62824119,1.906264293,7.53619131,27.44394119
showcase,20800,1,-0.716399476,-0.70986861,-0.6745,-0.626342272,-0.554211507,-0.556048684,-0.605897969,-0.516981451,-0.281141615,-0.185360097,-0.165249929,-0.052304498,0,0.210781426,0.503358125,0.716013415,0.946143046,1.404579244,2.148091041,2.396107039,3.261487696,4.183682541,5.188728117,10.4168243,26.99316784
surpass,27479,1,-0.877061179,-1.03447441,-0.499125231,-0.833241613,-0.548933868,-0.6745,-0.477394269,-0.413768192,-0.376891408,-0.399757739,-0.271461045,-0.090528645,0.02029472,0,0.316308119,0.640700066,0.734685909,1.204950061,1.718556924,1.887380614,2.362952616,2.905051563,3.488148684,8.708847714,25.0852111
intricate,40679,1,-1.319042275,-1.467626789,-1.13968472,-1.108377809,-1.101417171,-0.881775543,-0.708531396,-0.546077832,-0.36731508,-0.343708682,-0.16620517,0,0.135513372,-0.038752095,0.203689321,0.307251654,0.538708087,0.575339204,0.6745,0.554683606,0.839651935,1.165383081,1.167222616,6.64657908,23.13437394
tapestry,482,1,1.752573218,1.587442668,4.555264062,-0.6745,0.186061588,-0.200574249,0.00484944,-0.646865326,2.115781984,2.633923213,-0.109647256,-0.429638956,-0.348125582,-0.242151063,-0.723871574,-2.288732256,0.443224519,-1.812356825,-0.05191753,0,1.592220792,1.111591404,-0.070851739,6.025678341,22.47044904
