"Search query: ((""our result""[Text Word]) OR (""our results""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,21268
2023,58963
2022,64130
2021,65534
2020,60942
2019,54790
2018,52277
2017,50065
2016,47386
2015,45850
2014,42701
2013,39536
2012,36006
2011,32464
2010,28683
2009,25555
2008,23565
2007,21593
2006,19472
2005,17186
2004,14999
2003,13305
2002,12007
2001,11160
2000,10606
1995,2
