"Search query: ((""control group""[Text Word]) OR (""control groups""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,15660
2023,40709
2022,44530
2021,42468
2020,38328
2019,34110
2018,32014
2017,30309
2016,30155
2015,29791
2014,27456
2013,25780
2012,23568
2011,21040
2010,18746
2009,16974
2008,16161
2007,14964
2006,14160
2005,13114
2004,11057
2003,10110
2002,9087
2001,8515
2000,7955
