"Search query: (""data set""[Text Word]) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,1785
2023,5072
2022,5535
2021,5324
2020,4812
2019,4272
2018,4032
2017,3747
2016,3668
2015,3451
2014,3269
2013,3204
2012,2980
2011,2842
2010,2513
2009,2269
2008,2312
2007,2125
2006,1947
2005,1665
2004,1456
2003,1271
2002,1090
2001,953
2000,837
