"Search query: ((""follow up""[Text Word]) OR (""follow ups""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,35598
2023,91696
2022,98024
2021,104464
2020,97103
2019,88446
2018,83393
2017,80232
2016,78285
2015,76816
2014,74728
2013,71221
2012,65127
2011,60355
2010,53504
2009,49454
2008,47681
2007,44429
2006,40849
2005,38342
2004,32448
2003,30872
2002,28007
2001,26351
2000,24985
1999,5
1998,4
1994,2
1993,147
