"Search query: (""notable""[Text Word]) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,6930
2023,8982
2022,6383
2021,6105
2020,5077
2019,4145
2018,3838
2017,3319
2016,3068
2015,2944
2014,2663
2013,2564
2012,2299
2011,1989
2010,1830
2009,1606
2008,1480
2007,1333
2006,1208
2005,1080
2004,968
2003,913
2002,805
2001,756
2000,750
1998,1
1993,5
