"Search query: ((""compel""[Text Word]) OR (""compels""[Text Word]) OR (""compelled""[Text Word]) OR (""compelling""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,4111
2023,2716
2022,2297
2021,2349
2020,2149
2019,1895
2018,1764
2017,1762
2016,1696
2015,1702
2014,1576
2013,1466
2012,1344
2011,1311
2010,1173
2009,1059
2008,1016
2007,928
2006,871
2005,762
2004,723
2003,624
2002,540
2001,524
2000,429
