"Search query: (""two groups""[Text Word]) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,30672
2023,29656
2022,32042
2021,30054
2020,25916
2019,21415
2018,19880
2017,18752
2016,18697
2015,18444
2014,17700
2013,16439
2012,15041
2011,13330
2010,11931
2009,10948
2008,10325
2007,9734
2006,9261
2005,8675
2004,7643
2003,7328
2002,6646
2001,6422
2000,6155
