"Search query: ((""outperform""[Text Word]) OR (""outperforms""[Text Word]) OR (""outperformed""[Text Word]) OR (""outperforming""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2025,1760
2024,17046
2023,12393
2022,10710
2021,8800
2020,6631
2019,5639
2018,4948
2017,3944
2016,3529
2015,3076
2014,2744
2013,2265
2012,1927
2011,1659
2010,1327
2009,1112
2008,929
2007,823
2006,696
2005,494
2004,390
2003,275
2002,220
2001,201
2000,179
